»ùÒò,±àºÅ,z
MRAS,8131,1.319135
PCDHB7,9487,1.318579
RNFT2,11249,1.318457
GLIPR2,5051,1.318177
HOXA3,5773,1.317881
TTR,14189,1.317676
IPO5P1,6145,1.317616
ABCB9,42,1.317234
CSH1,2939,1.316494
RPL15,11305,1.316407
NR1H2,8938,1.316404
PRR3,10430,1.315894
TRIM35,13991,1.315862
ADAMTS9,226,1.315402
GGT5,4988,1.315367
BDKRB2,1246,1.315203
TMEM14B,13574,1.31474
PINK1,9832,1.314666
ENOX2,3973,1.313438
NOP10,8862,1.313432
PPP1R13B,10217,1.313399
ZDHHC19,14994,1.313242
OSTCP1,9268,1.312748
RBSN,10946,1.312608
WDR91,14751,1.312185
BCL11B,1218,1.31215
TUB,14195,1.311832
LOC105379807,7222,1.309559
AUP1,1095,1.309093
PKNOX1,9876,1.308549
ILF3,6061,1.308444
GABRA4,4829,1.307863
SRFBP1,12725,1.307579
PDGFA,9581,1.307374
MYO7A,8430,1.307286
PRB1,10295,1.307045
AMER1,492,1.305181
CYB5D1,3076,1.304969
SWI5,13005,1.304935
ABCB8,41,1.304927
LOC644936,7294,1.304707
GDF11,4940,1.304156
ARHGEF12,785,1.302923
ZXDA,15627,1.302597
BCR,1241,1.301788
PGAM1P5,9689,1.300598
TRA2B,13918,1.3003
AKAP17A,397,1.300195
TMEM248,13662,1.300024
ICE1,5911,1.299533
MYO1D,8422,1.298816
ITPR2,6244,1.29869
LINC01140,7003,1.298331
DCST2,3213,1.297614
DENND4C,3311,1.29761
SDE2,11691,1.296979
GRWD1,5338,1.296331
BCRP2,1242,1.296323
PGP,9709,1.29597
CYP4Z1,3120,1.295927
ABRACL,90,1.295612
SH2D5,11909,1.29532
AKT2,419,1.295037
EMX2OS,3952,1.294308
FBXO44,4492,1.294191
AMOT,504,1.294157
PCSK2,9530,1.293508
CDK20,2204,1.293427
DDC,3235,1.29315
CCDC113,1905,1.292923
CRTC2,2905,1.292746
ME2,7791,1.292616
GSTO1,5364,1.292104
CAPZA1,1809,1.291318
RALBP1,10797,1.290493
DHX58,3388,1.290371
PARP9,9414,1.290041
ACTRT3,187,1.288903
OAZ1,9121,1.288801
RAET1E-AS1,10789,1.288499
TESK1,13316,1.287424
CSKMT,2941,1.287411
SLC34A3,12174,1.287198
TRIAP1,13966,1.286925
CXCL3,3057,1.286686
DGUOK,3351,1.286248
RGS14,11061,1.286012
POLG2,10083,1.285487
PDSS2,9616,1.284701
RSPO4,11465,1.284659
TNIP1,13796,1.284344
MIR9-3HG,7998,1.28363
ESCO1,4086,1.283465
RNF214,11224,1.283045
FIGNL2,4589,1.282862
GRK5,5323,1.282528
ASB6,907,1.27908
CDKN2D,2231,1.27898
CCSAP,2057,1.278685
CXCL12,3053,1.278137
GAPDHS,4883,1.277132
RNF168,11207,1.277106
XRCC1,14836,1.276887
TRAM1,13938,1.276564
ETV6,4116,1.276416
ERN2,4078,1.276366
CYP3A5,3112,1.274898
NFKBIZ,8734,1.274713
ARID4A,809,1.274707
ANGPTL6,533,1.274698
DYRK1A,3698,1.273306
SOX12,12560,1.272791
RASGRP1,10861,1.272504
FAM201A,4309,1.271911
DERL2,3325,1.270053
HNRNPM,5760,1.270035
MAPK7,7661,1.269499
CCDC88B,1994,1.269484
RIC3,11111,1.269239
C20orf141,1563,1.268998
SCAF8,11610,1.268665
ALAD,422,1.26823
METTL16,7867,1.26788
GPR88,5265,1.267685
TOP3B,13849,1.267269
AMN,502,1.266836
ATP9A,1072,1.266811
VCX,14570,1.266541
NUFIP2,9068,1.266469
BTN2A2,1409,1.266463
CTTNBP2,3020,1.266122
GPR158,5232,1.265929
AGO4,344,1.264572
TMEM189,13619,1.264264
LYNX1,7507,1.264262
SLC6A12,12268,1.264214
SCAMP5,11617,1.263968
CASKIN1,1840,1.262868
NDRG4,8596,1.26269
BOD1,1329,1.262405
TMEM177,13604,1.262229
COL9A3,2729,1.261936
RIC1,11110,1.261254
RNF112,11178,1.261232
TMEM19,13620,1.260807
CASK,1839,1.260654
WSB2,14800,1.260348
GPR63,5259,1.260255
CALHM6,1756,1.260105
CENPF,2275,1.259681
KLRA1P,6627,1.259409
CUL2,3031,1.259023
UBE2H,14307,1.25882
ZNF714,15485,1.258174
WDR11,14698,1.258118
TFAP2C,13334,1.257437
ACTR1B,178,1.257165
PEX6,9670,1.256999
CCNJ,2039,1.256567
EFHD1,3783,1.256515
DNAJB9,3490,1.256315
RUNDC1,11502,1.255962
MRPL22,8168,1.255744
PCF11,9501,1.255574
RETNLB,11009,1.255486
PHLPP1,9754,1.254957
IGSF22,6008,1.254278
LOC100128361,7110,1.253835
HOXD8,5780,1.253714
OCA2,9126,1.253682
SRP9,12739,1.253617
EPB41L1,3995,1.253465
NLGN4X,8810,1.253383
TPTE2P6,13914,1.252844
PIP5K1A,9842,1.251707
CYSRT1,3126,1.251349
GNS,5137,1.251256
EBNA1BP2,3724,1.251243
ERICH5,4069,1.250648
PAQR7,9388,1.250233
TMEM198B,13625,1.249599
CLBA1,2515,1.249188
STX1A,12928,1.2489
ZMAT5,15081,1.24884
PLCD3,9912,1.248641
GGT3P,4987,1.248532
PPP3CC,10266,1.247689
LIF,6893,1.247506
ATG3,978,1.246977
LAMTOR5,6776,1.246773
SMIM4,12399,1.246507
PSMA1,10478,1.246003
PRAF2,10291,1.244719
DLK1,3440,1.24468
ASCL2,914,1.24408
PTPRN,10607,1.243582
FBXO15,4470,1.243168
TARDBP,13137,1.240799
TPRA1,13900,1.24052
ERLIN2,4073,1.240133
C19orf57,1510,1.237935
AXL,1109,1.237803
FBXO25,4477,1.23659
GAS8-AS1,4899,1.236046
BBS12,1191,1.235787
ARHGAP25,756,1.235301
SPOCK2,12664,1.235212
GAREM2,4887,1.234927
CNTROB,2676,1.234724
TRMT2A,14040,1.234507
CPEB1,2816,1.233933
PLPPR5,9990,1.233791
KCNF1,6358,1.233689
NSFL1C,8992,1.23367
SMARCD1,12355,1.2334
TATDN2,13160,1.23277
UBE2NL,14318,1.231604
MAN2B2,7598,1.231309
USP34,14496,1.231046
SNX11,12498,1.230977
ZNF735,15500,1.230072
GNRH1,5135,1.23007
VASN,14556,1.229906
CENPM,2278,1.229509
ZBTB47,14936,1.229298
USP42,14504,1.228334
FBXO16,4471,1.227701
PATL1,9424,1.226848
CLCN7,2524,1.226024
C2,1562,1.224663
LOC653080,7301,1.223086
ALG1,445,1.22303
PRPF4B,10408,1.222965
SRD5A3,12718,1.222557
STX16,12922,1.222356
RDH12,10970,1.22176
LFNG,6862,1.221311
C1orf56,1558,1.220883
FZD4,4797,1.220721
KIF1C,6524,1.22072
SMS,12415,1.219918
PCOLCE2,9523,1.219574
NUDT16,9052,1.219361
NPY2R,8930,1.219145
SYNE3,13030,1.218555
CKAP2,2501,1.218234
KIAA0391,6477,1.218218
NHLRC1,8750,1.217393
ELP6,3918,1.216034
POLR2C,10097,1.215361
BLOC1S2,1298,1.214889
PRKD1,10361,1.214805
DLGAP1-AS4,3436,1.214546
WIZ,14779,1.213823
HIST1H4D,5658,1.213421
RND1,11171,1.213227
ASCC1,910,1.213178
CIB3,2479,1.213134
PAX8,9429,1.212852
CTNNB1,2995,1.212773
ZDHHC17,14992,1.212471
PPM1A,10195,1.21133
AGO3,343,1.211122
C11orf1,1432,1.20993
CARMIL1,1823,1.20918
ZNF419,15268,1.209094
TRIM66,14011,1.208978
MRPL48,8192,1.208913
LOC645752,7297,1.208758
HDGFL3,5523,1.208736
NAT8L,8525,1.208688
DEFB131A,3296,1.208426
ZC3H11A,14950,1.206706
SOX13,12561,1.206253
LENEP,6852,1.206069
MROH8,8153,1.205318
THEMIS,13390,1.204786
CLDN9,2535,1.2046
JAKMIP3,6268,1.204431
PPP1R32,10234,1.204217
SEH1L,11741,1.204149
FASTK,4431,1.203775
CPNE4,2828,1.203744
LTN1,7485,1.203418
CEP170B,2301,1.202665
TROAP,14053,1.202253
SOCS7,12533,1.202079
LINC01061,6991,1.201748
EXOC8,4142,1.201622
GALC,4850,1.201466
CXXC4,3063,1.20105
RAB33A,10718,1.200329
RASL11B,10869,1.200161
CAMK2G,1773,1.200048
SLC25A19,12098,1.199672
IDI1,5927,1.199143
LOC728554,7307,1.198791
PI4K2A,9770,1.19852
TRAF6,13932,1.198388
TENM4,13307,1.198259
ZNF32,15215,1.197796
NUDT9P1,9066,1.197253
LRRC36,7400,1.197193
DGCR2,3335,1.196717
TMEM229B,13646,1.196281
GANAB,4879,1.195757
PCDH10,9458,1.195403
METTL24,7873,1.19539
USP8,14519,1.195264
RBKS,10896,1.19504
ZNF789,15537,1.194277
HELB,5546,1.194018
CTHRC1,2989,1.193547
ADCY8,251,1.193282
VANGL1,14548,1.192783
RUNX2,11506,1.191958
SSBP2,12771,1.191542
ZNF208,15145,1.191475
PANX1,9373,1.191203
SLC35E3,12189,1.191145
STK31,12880,1.190278
TRNP1,14050,1.190152
PELO,9643,1.189975
KDF1,6440,1.18949
ARHGEF17,788,1.187878
KLRC3,6630,1.187371
ARHGAP27,758,1.187325
LMAN2,7079,1.186642
LOC101926934,7170,1.186503
SCGB2A2,11640,1.186433
ICK,5913,1.186391
KRCC1,6659,1.186052
ADCY6,249,1.185053
PLAGL1,9900,1.18502
EAF1,3714,1.18477
CCP110,2049,1.184581
MBTD1,7737,1.184427
WNT7A,14793,1.183312
MFSD8,7916,1.182545
WDR60,14733,1.182101
XK,14820,1.182012
CMTR1,2617,1.181957
C10orf143,1426,1.18183
FKBP5,4607,1.181821
CHRNA4,2447,1.181779
FSCN1,4741,1.181662
MAPK13,7655,1.181396
LOC100128079,7106,1.180256
MMP28,8050,1.180157
DPF1,3575,1.180097
TMEM239,13655,1.179272
LOC440084,7267,1.178584
PLEKHM1,9954,1.178003
FOXRED1,4709,1.177202
CELF3,2263,1.176393
ADD1,255,1.175952
CETN4P,2339,1.175861
PPFIBP1,10172,1.1755
INHA,6092,1.17491
AGAP2,326,1.174877
COL19A1,2703,1.174668
HIST1H4E,5659,1.174128
ZNF510,15324,1.174063
SPAG7,12595,1.17402
BOLA3-AS1,1336,1.173565
NME4,8825,1.173426
ODF3L2,9136,1.172937
DCAF1,3178,1.172483
EEPD1,3769,1.172151
ADIPOR2,279,1.171333
ATF4,962,1.171266
TSHZ2,14091,1.171257
NUDT15,9051,1.170826
KIAA0087,6470,1.17072
EIF2A,3827,1.170519
GALNS,4855,1.170037
CPSF4,2840,1.169776
TMEM42,13693,1.1693
HAUS6,5473,1.169184
SLC39A4,12221,1.169121
PPM1N,10206,1.168811
C3orf62,1615,1.16871
ZNF79,15538,1.168191
CD24,2086,1.168185
SAPCD2,11577,1.168139
CDC34,2144,1.167497
MED26,7818,1.165681
KRTAP22-1,6711,1.165582
LRRK2,7441,1.165067
LINC00461,6937,1.164855
ZCCHC24,14975,1.164472
TRANK1,13942,1.164445
RHBDD3,11080,1.164332
CLPP,2579,1.164302
LOC441666,7280,1.164158
OXA1L,9290,1.163453
FAM78A,4378,1.163317
ORMDL1,9244,1.163304
SCRN1,11670,1.163291
DHRS13,3364,1.162771
ZNF366,15244,1.162713
PC,9446,1.162614
PHF5A,9738,1.162149
JMJD1C-AS1,6281,1.162016
C20orf27,1568,1.160986
PCBP1,9451,1.158486
TRAF5,13931,1.158343
GPS1,5271,1.157894
DGCR8,3339,1.157882
SYMPK,13020,1.15647
ACVR1B,189,1.156368
PFKL,9681,1.155831
ATG101,970,1.155717
ETAA1,4102,1.155578
SMA5,12335,1.154891
LINC02470,7057,1.154225
MED28,7820,1.153689
SLC22A9,12080,1.15366
MYMX,8412,1.15365
EXOC6,4139,1.15341
CMAHP,2600,1.153056
RFTN1,11035,1.152656
TRABD,13919,1.152511
C2orf81,1603,1.152381
HECA,5538,1.15175
SNAI1,12425,1.151666
ZNF774,15523,1.15067
SPA17,12588,1.150649
SFI1,11864,1.150438
CCDC80,1985,1.150387
ZHX3,15063,1.150274
UHMK1,14395,1.149974
CASTOR2,1857,1.149562
PRSS50,10459,1.149382
BMPR1B,1315,1.149315
TAF4,13104,1.149004
NF2,8713,1.148738
TMEM254,13667,1.14852
SCGB1C1,11638,1.148324
LOC100129034,7112,1.148124
AGA,323,1.147789
AKIRIN1,405,1.147171
ZNF451,15294,1.147048
NEURL2,8702,1.146583
TTC17,14142,1.146481
C2CD4D,1585,1.146273
SPPL2B,12673,1.145826
HSPBP1,5865,1.144941
URAD,14452,1.144778
CMKLR1,2607,1.144562
CNNM2,2637,1.143783
KRTCAP3,6733,1.143681
FAM184A,4287,1.143651
CDK19,2203,1.14351
B4GAT1,1144,1.143289
MMP15,8046,1.143222
SEC22C,11721,1.14284
ICA1,5905,1.142636
ZNF528,15340,1.142546
FAM173B,4278,1.141446
UBAP1,14287,1.140574
DNM1P35,3533,1.139955
RUNX1T1,11505,1.139094
PDLIM4,9604,1.138915
ITPK1,6239,1.138704
TNS3,13820,1.138628
FOXC2,4683,1.138557
CDCA5,2164,1.138193
GET4,4961,1.136696
HELZ,5549,1.136605
LY96,7502,1.136557
TAS2R10,13143,1.135465
FAM222B,4337,1.135187
LINC00839,6968,1.134876
URB1,14453,1.134582
IL1RAP,6039,1.133768
WDR47,14724,1.133662
PCDHGB2,9493,1.133574
HDAC4,5511,1.133023
APBB1,669,1.132739
ESRRB,4096,1.132574
PLEKHG2,9944,1.131667
FLT3LG,4638,1.131159
TUBA1B,14197,1.130273
CD248,2088,1.130265
GABPB1-AS1,4823,1.1297
9-Sep,11800,1.129512
PRSS1,10449,1.129037
WRN,14797,1.128676
SMARCB1,12352,1.127768
OPRK1,9173,1.127757
HINT2,5609,1.127709
LRRC20,7390,1.127506
MAPKAPK5-AS1,7672,1.126516
COQ10A,2769,1.126514
TLDC1,13466,1.125689
LINC00663,6961,1.124834
CAPNS2,1804,1.123705
NEXMIF,8710,1.123277
RBPJ,10943,1.12301
WASL,14683,1.12258
FRAT2,4718,1.122499
PFDN6,9677,1.122298
SMIM27,12393,1.121642
HDAC11,5508,1.120219
MAST4,7706,1.119141
PPP1R42,10243,1.119132
SLC14A1,12033,1.119035
EIPR1,3876,1.119024
PRKCE,10353,1.118334
SATB1,11591,1.117487
MYMK,8411,1.117242
ASMTL,928,1.117211
ZBTB45,14935,1.116542
SURF6,12986,1.115882
CA5BP1,1696,1.115656
PLEKHB1,9939,1.115373
RESP18,11005,1.115341
ZNF593,15394,1.114873
CCDC160,1939,1.114422
ESYT1,4099,1.113957
MVK,8358,1.112792
ANKRD13B,552,1.111002
MAPK8IP1,7663,1.110586
LCE1A,6810,1.110424
SYNJ2BP,13039,1.110268
HNRNPH2,5754,1.110107
GSKIP,5348,1.11
ARHGAP36,768,1.108693
FANCI,4415,1.10765
NDC1,8584,1.107008
ATP11B,1000,1.106918
LTB4R2,7477,1.106712
SIGLEC6,11976,1.10647
SYNDIG1L,13027,1.105567
SAE1,11551,1.105482
FDPSP2,4523,1.105435
LOC105370333,7207,1.105325
MRPL20,8166,1.105195
NDRG2,8594,1.104941
TMEM18,13609,1.104768
TCTEX1D1,13273,1.104705
MAGI2-AS3,7570,1.104358
PANX2,9374,1.10413
TMEM164,13589,1.103522
JARID2-AS1,6273,1.102289
RIIAD1,11116,1.102175
RAB5C,10742,1.101798
ATP6V0A1,1044,1.10103
MBLAC2,7729,1.100765
FAP,4419,1.100297
PRPH2,10412,1.099982
LINC01686,7035,1.099279
SEC24A,11725,1.099232
ZNRF1,15588,1.099192
SLC7A11,12280,1.098481
RUBCN,11497,1.097989
ATOH7,993,1.097658
EMC1,3921,1.09602
VAT1,14558,1.095991
HBA2,5479,1.095547
LRRC4,7407,1.095107
IDH3A,5924,1.094676
KCNAB1,6344,1.094468
CHAC1,2376,1.093712
C5orf58,1635,1.0932
RER1,11001,1.092786
SWT1,13007,1.092252
PPIP5K1,10192,1.091221
DNAJC19,3501,1.091105
GRAMD4,5287,1.090936
RNF19A,11216,1.090504
ITGB1BP2,6226,1.089753
ACOT11,131,1.089328
ORC4,9240,1.089268
YDJC,14857,1.089074
CGGBP1,2369,1.08649
FITM1,4594,1.085673
CHAD,2378,1.085428
MRPL54,8198,1.084928
PNMA6A,10040,1.084908
IFNGR2,5962,1.084299
PRSS3,10455,1.082349
SOSTDC1,12552,1.081367
XPNPEP3,14828,1.081341
HS6ST2,5817,1.081163
SEMA7A,11777,1.081144
USP21,14481,1.080723
SERPINB9P1,11819,1.079852
RAVER1,10879,1.079812
ZFP41,15035,1.079598
SPIRE2,12657,1.079233
PARP10,9404,1.079179
CDH24,2179,1.078781
GALNT2,4866,1.078752
ZNF207,15144,1.078715
NTMT1,9022,1.078453
SERPINF1,11821,1.078157
GPC2,5190,1.077831
PUM3,10627,1.077373
PLCL1,9919,1.077104
TESC,13315,1.076659
XRCC5,14839,1.076346
RBP1,10939,1.07599
HAT1,5468,1.074818
MYPOP,8441,1.074617
AP3B2,652,1.074226
PDZD11,9622,1.073081
PEX3,9667,1.072806
CCDC171,1943,1.071839
PARS2,9416,1.071673
FAM3A,4352,1.071302
FAM131A,4236,1.070354
DPY19L1,3595,1.070005
TMEM117,13543,1.069977
CYP11B1,3094,1.068717
BOD1L1,1330,1.068328
FAM96B,4403,1.068136
RAD9A,10786,1.067844
TMEM208,13634,1.06776
MSRB3,8261,1.067342
LIME1,6906,1.067282
MAPK1IP1L,7657,1.067195
HOMEZ,5768,1.066105
ACLY,128,1.065833
BOK,1332,1.06573
ABCA10,28,1.064568
FOXG1,4690,1.063535
SLC30A9,12169,1.06335
TBC1D8,13194,1.062674
SEMA6D,11776,1.062632
SERTAD1,11826,1.062388
ZDHHC4,15002,1.062159
EXPH5,4154,1.061657
LOC101928424,7188,1.061445
MED10,7799,1.061296
BPNT1,1345,1.061158
MYBPC2,8376,1.060924
PXMP4,10650,1.060809
LCE1C,6811,1.060533
TIMM23B,13437,1.060522
FAM107A,4210,1.06026
ALAS1,423,1.060005
FAF1,4194,1.059937
DCC,3197,1.059866
ATP5MG,1034,1.059547
S100P,11538,1.058439
C3orf18,1609,1.058409
ZNF511,15325,1.058083
C9orf16,1676,1.058027
LOC100506125,7149,1.055185
COA3,2678,1.05479
CLIC2,2554,1.054746
NLGN1,8807,1.054646
CASD1,1838,1.05378
BAIAP2-AS1,1166,1.053636
FHIT,4575,1.053342
DDX19A,3254,1.053043
BEND7,1256,1.05225
CYB5R3,3080,1.05115
ADGRE5,264,1.050996
ATP13A2,1003,1.050988
SELENOH,11746,1.050915
PRR5,10433,1.050726
KCTD14,6421,1.050197
PLEKHF2,9942,1.050114
UQCRFS1,14448,1.04997
ZNF426,15272,1.048832
REEP1,10982,1.04768
ZFAND2A,15013,1.046924
MIS12,8001,1.04615
TONSL,13842,1.046119
LRP4,7377,1.045651
S100A11,11528,1.044268
PARP2,9409,1.044088
CNP,2651,1.043938
TPI1P2,13886,1.043936
CLIP4,2563,1.043348
TLR9,13485,1.042951
ST8SIA2,12823,1.042574
TMEM68,13716,1.042238
NBPF1,8538,1.042232
TMEM184B,13613,1.041811
AATK,25,1.041185
CHST12,2455,1.040477
PRPF40B,10407,1.040467
DUSP15,3660,1.040255
KRR1,6664,1.039615
IL12RB2,6025,1.039347
SEMA4D,11768,1.039042
HBA1,5478,1.038888
AOC3,637,1.038844
ABHD14B,68,1.038772
ATP6V0A2,1045,1.038198
CHRNA3,2446,1.037995
AP2S1,650,1.037234
SLC10A7,12022,1.037228
LRIF1,7364,1.036694
RAD51D,10781,1.036444
ADGRA1,258,1.036184
C6orf226,1643,1.035271
RPA1,11277,1.035051
PLCXD3,9923,1.034943
PRX,10467,1.034771
DCDC2B,3200,1.034746
STX4,12932,1.033847
OR11A1,9185,1.033412
DIRAS1,3406,1.033202
FAM133CP,4241,1.032903
AVP,1104,1.032539
TLX3,13489,1.031872
C11orf95,1448,1.031348
NUDT14,9050,1.031006
UMAD1,14406,1.030987
TMEM120B,13546,1.030877
GGH,4981,1.03066
NCBP2-AS2,8556,1.030326
LRP5,7378,1.030305
CRIP3,2884,1.029962
AGBL5,333,1.028612
TST,14130,1.028246
UPP1,14436,1.0272
SNUPN,12494,1.026936
LY6E,7495,1.026892
MTA3,8281,1.026269
PPP1R26,10233,1.026163
DUX4,3678,1.025282
PRR5L,10434,1.024758
EPHB2,4018,1.024664
FBXO28,4479,1.024057
AMZ1,512,1.023696
SHISA5,11947,1.023224
BCAR1,1202,1.02237
NLGN3,8809,1.022256
ALDH18A1,428,1.02179
ARHGEF15,786,1.021537
SLC31A1,12170,1.019962
TPCN1,13878,1.01957
IKBIP,6015,1.018941
SNN,12464,1.018571
CDK12,2196,1.018528
ATP6V0E2-AS1,1053,1.017573
NXF3,9102,1.016901
RERGL,11004,1.016884
ZKSCAN3,15072,1.016817
ALG13,450,1.016395
FANCE,4412,1.016288
TNC,13768,1.015496
HGH1,5583,1.015313
DHRS9,3372,1.015173
C3AR1,1607,1.013762
TMEM147,13572,1.013205
SRM,12732,1.012074
SPRR1A,12681,1.011776
EPN2,4028,1.011098
ZFR2,15047,1.009706
SYNJ1,13037,1.00951
TCF7,13255,1.008875
SFN,11867,1.008428
PXDN,10648,1.008201
MLST8,8034,1.0075
RAD54L,10784,1.00658
HIST1H3A,5646,1.006264
AAGAB,12,1.006133
SNAPC2,12434,1.005714
HIP1R,5612,1.00478
GLIS2,5053,1.004608
CZ1P-ASNS,3135,1.004104
RAP1GAP2,10823,1.004015
CLVS1,2597,1.002202
ST13,12799,1.001961
EMC3,3924,1.001774
F8,4175,1.001439
LSP1,7469,1.001289
EHD1,3811,1.00124
LRRC28,7395,1.001106
TRAPPC11,13946,1.000355
PCTP,9536,0.999807
KLLN,6626,0.998758
ZNF611,15408,0.997458
OSBPL2,9253,0.996875
FDFT1,4521,0.996779
SMO,12405,0.99553
ARFGAP2,735,0.995287
ATG4A,979,0.994834
CDH3,2181,0.99454
ZNF141,15116,0.993701
KLHL33,6603,0.993595
FAM32A,4349,0.992802
NUDCD3,9045,0.992567
BET1,1261,0.992317
OLFML2B,9155,0.991933
KLHDC10,6578,0.991272
NPFF,8900,0.990548
PCYT1B,9540,0.989782
BCKDK,1215,0.989527
FBXO46,4494,0.989315
WDR93,14753,0.988705
ARF6,733,0.988095
SCGB3A2,11643,0.986859
EMD,3932,0.986557
DGKZ,3349,0.986552
MGC27345,7930,0.986299
EXOSC5,4149,0.986252
SEC62,11736,0.986217
LOC101928673,7192,0.985979
TOM1L2,13831,0.985864
RAB39A,10724,0.985501
PPTC7,10284,0.984587
HMGCS1,5721,0.984439
TMEM54,13703,0.984244
TMEM232,13649,0.983904
PRPF19,10399,0.982181
MAML1,7585,0.982141
LPIN3,7350,0.981724
PACRGL,9334,0.981597
LATS2,6799,0.981529
PIN4P1,9831,0.981262
UEVLD,14380,0.980617
ST7,12819,0.980052
CEP152,2297,0.978596
JPH1,6289,0.978322
RPL28,11326,0.977943
TASP1,13157,0.977582
ANGPTL4,532,0.977438
ARHGEF9,803,0.976444
PTRHD1,10617,0.975131
TEDC1,13295,0.974413
UCHL1,14370,0.974022
SERBP1,11802,0.973399
ZIC4,15066,0.973335
SMU1,12417,0.972871
PFKP,9683,0.972841
DTYMK,3649,0.97275
RAET1K,10790,0.972589
GALT,4876,0.972235
LCLAT1,6822,0.971818
TM9SF1,13499,0.971729
STX6,12934,0.971352
SKP1P2,12011,0.971099
INVS,6136,0.970458
LSM4,7463,0.969315
SYS1,13049,0.96927
ATP2B2,1016,0.968856
GLCE,5041,0.968697
FAM171A2,4274,0.967967
CD276,2091,0.967837
HPS6,5797,0.966922
ZGPAT,15059,0.966646
MACROD1,7540,0.965946
LRRTM1,7445,0.965299
FAM3C,4353,0.965213
PLEKHG4,9946,0.965051
TSPAN18,14106,0.964958
CPLX1,2820,0.963447
STYX,12944,0.963145
ACSL6,154,0.962567
MMP17,8048,0.962469
FBXL14,4454,0.961891
CTF1,2986,0.961446
KCTD15,6422,0.960475
HIST1H4B,5656,0.959956
ECM1,3737,0.959916
FOXK1,4695,0.959793
AMACR,487,0.959235
MDN1,7789,0.958745
DESI1,3327,0.957877
PDCD11,9545,0.956603
RTF1,11475,0.956451
NTN1,9023,0.956352
PDYN,9621,0.956224
PCDHAC2,9473,0.956179
ATP13A4,1005,0.956173
TMEM126B,13552,0.956144
MAP7,7646,0.956105
TRAPPC1,13944,0.955814
SPG7,12640,0.955746
ANGEL1,526,0.955574
ISM1,6197,0.955306
CNFN,2624,0.955182
SLC2A3,12158,0.955175
WDR81,14744,0.954962
MPRIP,8121,0.954843
NDUFA7,8612,0.954724
KCNN3,6401,0.953804
PDXP,9620,0.953648
KCTD2,6426,0.952719
GOPC,5163,0.952502
MMP9,8051,0.951827
EIF2B4,3835,0.951717
PRPS2,10415,0.951394
LANCL2,6778,0.951268
RNF128,11187,0.950912
DXO,3682,0.949149
C1QTNF12,1524,0.949061
RPUSD3,11423,0.949019
RIMS1,11123,0.947629
PDIA3,9592,0.946882
ABCC10,44,0.946369
ARMC9,847,0.945702
PENK,9646,0.945693
PTGER2,10552,0.94544
NRG2,8967,0.945437
FAM124A,4231,0.944796
UTY,14536,0.944464
MTSS1L,8331,0.94425
NR0B1,8935,0.944202
PLEKHA4,9933,0.943881
CIAPIN1,2475,0.943837
IFIT1,5949,0.943685
GCM1,4927,0.942912
CD3D,2102,0.942893
FLJ33534,4623,0.942557
YEATS2,14858,0.942477
LINC01184,7008,0.941934
SCG3,11635,0.94168
HSF2,5839,0.941265
ZNF365,15243,0.941222
RAB1B,10703,0.940955
WNT6,14792,0.940901
NCALD,8545,0.940736
ABHD14A,67,0.940586
POLM,10088,0.940466
RAD51-AS1,10778,0.940123
SCN4B,11656,0.940037
DNLZ,3530,0.939941
WDR54,14729,0.939444
KIF13B,6516,0.939198
TMCC3,13514,0.93901
KCTD11,6418,0.938878
PCDH1,9457,0.938806
ZNF444,15289,0.938769
KRT14,6666,0.938501
DNPEP,3542,0.938439
GPC1,5189,0.938263
NTN5,9026,0.938124
TSTA3,14131,0.938108
NUBP2,9037,0.937795
ZBTB34,14926,0.937386
RAB30-AS1,10715,0.936835
CRYBA2,2910,0.936581
ZNF805,15545,0.936549
ZC3H13,14954,0.936327
ATG7,984,0.936236
PDCD10,9544,0.93566
LINC01296,7013,0.935627
RBM4,10922,0.935009
ASPRV1,938,0.934962
FAM220A,4334,0.934226
GCDH,4921,0.933562
GRIN2B,5312,0.933512
BIRC3,1289,0.933039
PTRH2,10616,0.932923
PRMT8,10382,0.932777
CALN1,1763,0.93256
CNTNAP3B,2672,0.931137
RASSF7,10876,0.930851
DPCD,3573,0.930408
HPSE2,5798,0.930203
CHST7,2464,0.929968
PPM1G,10200,0.929643
MBD1,7720,0.929545
DNAH5,3473,0.928948
RASA4CP,10850,0.928259
OAZ2,9122,0.927519
TOB1-AS1,13823,0.92744
USP49,14511,0.927319
CEP104,2290,0.927184
ZDHHC21,14997,0.927051
CTDNEP1,2980,0.926869
CHP2,2432,0.92672
KIF4B,6539,0.925934
TRIM9,14019,0.925372
NOMO1,8860,0.924523
C9orf3,1679,0.923207
BRD4,1356,0.923167
SUN1,12972,0.920989
HPCAL4,5785,0.920503
BSN,1383,0.920294
GLTPD2,5074,0.919982
RHEBL1,11089,0.918727
ZNF554,15357,0.918563
IL10RB,6022,0.916675
SIGIRR,11972,0.916043
DND1,3527,0.91598
LOC100133091,7128,0.914874
RADIL,10787,0.914779
ACO2,130,0.914669
BTAF1,1387,0.91446
KIAA1656,6506,0.913865
ZNF219,15153,0.913517
GPR157,5231,0.913106
PCDHGA12,9490,0.912993
SHROOM3,11963,0.912847
NOB1,8844,0.91187
AP1M1,642,0.911777
FRMD8,4731,0.911419
RTKN,11476,0.910803
COPS4,2760,0.910606
SCN2B,11652,0.910228
LRRC3,7397,0.90999
